model,epoch,rouge,bleu,bleu_list,exact_match,f1,elapsed_time
seq2seq,1,0.0,2.609167552288574e-10,"1.5027346398813258e-17,2.3280264936602504e-12,1.2503256059374824e-10,9.163064188006747e-10",0.0,0.0,38.29447960853577
seq2seq,2,0.0,2.609167552288574e-10,"1.5027346398813258e-17,2.3280264936602504e-12,1.2503256059374824e-10,9.163064188006747e-10",0.0,0.0,44.34963846206665
seq2seq,3,1.3101374570446735,0.05156958499620162,"0.20627793408271008,9.22502965724711e-09,9.445171562758226e-08,3.0222535112104466e-07",0.0,1.3888888888888888,53.12890076637268
seq2seq,4,0.0,1.3672281766073913e-11,"2.0627793408270985e-16,2.9172105199503287e-16,9.445171562758228e-13,5.374411190903375e-11",0.0,0.0,58.57678294181824
seq2seq,5,0.0,7.773480707904126e-14,"4.0781309468539433e-16,5.012350264945246e-16,6.813310288379905e-16,3.0934884916614715e-13",0.0,0.0,64.52630019187927
seq2seq,6,0.0,1.3672281766073913e-11,"2.0627793408270985e-16,2.9172105199503287e-16,9.445171562758228e-13,5.374411190903375e-11",0.0,0.0,72.54299187660217
seq2seq,7,0.0,1.3672281766073913e-11,"2.0627793408270985e-16,2.9172105199503287e-16,9.445171562758228e-13,5.374411190903375e-11",0.0,0.0,81.34705758094788
seq2seq,8,0.6795900178253118,0.0843504914190911,"0.33740195043026716,1.3628612241091685e-08,6.522861707035903e-11,1.5522563596615095e-09",0.0,0.8333333333333334,88.41034126281738
seq2seq,9,0.02007318485757911,0.0815266060561482,"0.19011406844088402,0.13599112627003473,1.225826886881956e-06,3.686787170324144e-09",0.0,0.016534391534391533,91.32917332649231
seq2seq,10,4.765141299462061,0.7879382553600212,"2.0750503220591012,1.0766907432793367,1.1896965730675593e-05,5.913591586480698e-08",0.0,5.158730158730159,101.21236062049866
seq2seq,20,6.0018379814569585,1.1513638438758556,"4.6054553185352205,5.6805402769008614e-08,1.5304007395171201e-10,9.758673019261003e-12",0.0,6.357774170274171,169.959862947464
seq2seq,30,9.686184394623192,2.8799519809298495,"6.403726276522077,2.9649722088809427,2.1507137968354217,0.00039564148095570323",0.0,10.219633307868603,233.69265174865723
seq2seq,40,12.54255517432641,8.165486654769781,"10.336930094332834,8.644486807858893,7.382792962157899,6.297736754729501",0.0,13.117334054834053,308.2874789237976
seq2seq,50,16.543158025647863,9.419081939519291,"13.2241348802236,9.807280909170476,8.012402548159724,6.632509420523366",0.0,18.467863155363155,373.32590794563293
seq2seq,60,20.834249876162968,13.490161665685852,"17.245606661654886,13.376260242295052,11.885030634328936,11.453749124464538",4.166666666666666,21.408949846449847,442.7561011314392
seq2seq,70,20.834249876162968,13.597351859945114,"17.08364380587944,13.287278515665262,12.280477613236545,11.7380075049992",4.166666666666666,21.408949846449847,518.9770822525024
seq2seq,80,20.970467585212912,13.28775997883521,"17.08364380587944,13.287278515665262,11.856670773466965,10.923446820329168",0.0,21.64399258149258,587.4767744541168
seq2seq,90,21.34360191357112,14.124224167120907,"17.738160802581955,14.028762944684772,12.720021330693996,12.009951590522906",4.166666666666666,21.9645054020054,657.1302599906921
seq2seq,100,21.65998501415675,14.019507775492944,"18.91529394489314,14.080993378749993,12.213619239306842,10.868124539021796",0.0,22.148927461427462,731.3060154914856
seq2seq,110,22.033119342514958,14.859763664059338,"19.572723198660785,14.834336896534559,13.084753412412184,11.947241148629823",4.166666666666666,22.46944028194028,797.0671229362488
seq2seq,120,21.65998501415675,14.039101149866369,"18.97961037445894,14.112519187495643,12.219984379578468,10.844290657932422",0.0,22.148927461427462,871.4587275981903
seq2seq,130,22.034310001883796,14.294515809006231,"19.572723198660785,14.331330983172059,12.345972481532636,10.928036572659442",0.0,22.545752858252857,940.6758408546448
seq2seq,140,21.65998501415675,14.039101149866369,"18.97961037445894,14.112519187495643,12.219984379578468,10.844290657932422",0.0,22.148927461427462,1019.9540741443634
seq2seq,150,21.65998501415675,14.039101149866369,"18.97961037445894,14.112519187495643,12.219984379578468,10.844290657932422",0.0,22.148927461427462,1086.8989865779877
seq2seq,160,22.034310001883796,14.294515809006231,"19.572723198660785,14.331330983172059,12.345972481532636,10.928036572659442",0.0,22.545752858252857,1160.4512405395508
seq2seq,170,21.65998501415675,14.039101149866369,"18.97961037445894,14.112519187495643,12.219984379578468,10.844290657932422",0.0,22.148927461427462,1234.8300621509552
seq2seq,180,22.034310001883796,14.294515809006231,"19.572723198660785,14.331330983172059,12.345972481532636,10.928036572659442",0.0,22.545752858252857,1315.301307439804
seq2seq,190,22.034310001883796,14.294515809006231,"19.572723198660785,14.331330983172059,12.345972481532636,10.928036572659442",0.0,22.545752858252857,1409.9522261619568
seq2seq,200,22.034310001883796,14.294515809006231,"19.572723198660785,14.331330983172059,12.345972481532636,10.928036572659442",0.0,22.545752858252857,1464.8904056549072
acg,1,34.52692305483969,10.609351910567565,"20.504136866447578,13.405155923866324,8.52689644661976,0.0012184053366033297",0.0,36.54662331132919,47.2054398059845
acg,2,41.85941210321103,18.53425359721022,"36.64687209283236,23.51589279777721,13.972845297322243,0.0014042009090747707",0.0,44.19799133614923,57.401063442230225
acg,3,43.47121067045002,16.91088181363327,"23.729562002294863,18.003994122204393,13.920263244878338,11.989707885155486",0.0,46.09496848467437,69.2153012752533
acg,4,42.023140184136636,1.5778391483969763,"3.1738512553277247,2.063531371830041,1.0738856968620272,8.826956811200008e-05",0.0,45.46329004409538,79.74574732780457
acg,5,48.12398000040627,20.976289432229628,"36.07625745393393,28.203121907079794,19.623854078374894,0.0019242895298919227",0.0,50.575881090586975,93.09599208831787
acg,6,52.11977538911192,23.261740600112397,"34.631908960863186,27.60735295189417,19.596863324475045,11.210837163217173",0.0,54.701292715998605,101.20605134963989
